url,source,title,author,date,tags,text
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,The CO2 Coalition,,2020-10-22,,"

The CO2 Coalition is an independent, non-profit organization that engages in informed, dispassionate discussion of how our planet will be affected by CO2 released from the combustion of fossil fuel and other sources. Available scientific facts have persuaded Coalition members that additional CO2 will be a net benefit. Consider the ancient motto of Britain’s prestigious Royal Society—nullius in verba, “don’t take anyone’s word for it,” or more simply, “see for yourself.”
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,Who discovered this?,,2020-10-22,,"

Around the year 1861, John Tyndall, a prominent Irish physicist, discovered that water vapor (H2O), carbon dioxide (CO2), and many other molecular gases that are transparent to visible light can absorb invisible heat radiation—such as that given off by a warm tea kettle, the human body, or the Earth itself. Tyndall recognized that water vapor is the dominant greenhouse gases in the Earth’s atmosphere, with CO2 a less important contributor.

Tyndall’s discovery came as the combustion of coal in the Industrial Revolution was beginning to release substantial amounts of CO2. These emissions have coincided with a steady increase of atmospheric CO2, from around 285 ppm (parts-per-million) in the 1860s to around 400 ppm today.
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,What about all those models?,,2020-10-22,,"

Mainstream warming forecasts have been wrong. Over the past two decades, the global warming predicted by climate models has mostly failed to materialize. The real “equilibrium climate sensitivity”—the amount of global warming to be expected for a doubling of atmospheric CO2—is likely to be about three times smaller than what the models have assumed. Observational data suggest that doubling atmospheric CO2 levels will increase the surface temperature by about 1° C, not the much larger values that were originally assumed in mainstream models. Using these much smaller, observationally based climate sensitivities, the projected warming from continued use of fossil fuels will be moderate and benign for the foreseeable future.
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,Who’s exaggerating?,,2020-10-22,,"

On being told that his obituary had been published, Mark Twain quipped, “The report of my death was an exaggeration.” Alarming predictions of “climate change” are similar. Scientists and engineers in the CO2 Coalition want you to know that the negative effects of more CO2 – like Mark Twain’s death – have been greatly exaggerated. Readily available data from both governmental and non-governmental sources confirms that extreme weather events in recent years have not happened more often or with greater intensity. Reports of damaging ocean acidification, accelerating sea-level rise or unprecedented decreases of polar and glacial ice are also mostly myths designed to terrify people into accepting harmful policies that allegedly “save the planet.”
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,What’s the great news about carbon dioxide?,,2020-10-22,,"

**See for yourself.**

More carbon dioxide levels will help everyone, including future generations of our families. CO2 is the essential food for land-based plants. The Earth’s biosphere has experienced a relative CO2 famine for millions of years, and the recent increase in CO2 levels has had a measurable, positive effect on plant life. Future CO2 increases will boost farm productivity, improve drought resistance, bolster food security and help create a greener, lusher planet.
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,Whats the right balance?,,2020-10-22,,"

CO2 plays a very small role in climate; water vapor and clouds are much bigger factors.

The amount of CO2 in the current atmosphere is tiny, about 0.04% by volume. This 0.04% level is about 30% larger than the preindustrial concentration, about 0.03%, in the year 1800. But even today’s 0.04% CO2 is perilously close to the starvation level for plants, around 0.015%. Earlier in the earth’s history, there was five times as much CO2 as now – 0.20%, and even more.

Most plants evolved at these much higher CO2 levels and they will do better if current low levels return to normal.

All other factors being equal, more atmospheric CO2 will increase greenhouse warming of the Earth’s surface. Atmospheric processes are complicated, so the amount of warming is still somewhat uncertain. The most reliable real-world observations of the atmosphere and oceans, together with geological history, point to only modest warming. That’s about 1° C (1.8° F), for doubling the CO2 concentration.
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,Are polar ice caps and glaciers shrinking or growing?,,2020-10-22,,"

Both. Polar ice is close to stable. Antarctic sea ice is growing, while Arctic ice shrank by 10 percent since the first measurements of polar ice from satellites in 1979.

Mountain glaciers have been retreating recently but they grew during the Little Ice Age only 300 years ago. The Tlingit people who have lived in Glacier Bay for 5,000 years report that they have been forced to leave the Bay to their settlement in Icy Strait five times over recent centuries.

Take a look at the oldest maps of the Alaskan shorelines prepared by European explorers—you’ll see that the glaciers extended many miles further than they do now. When later explorers arrived, the glaciers had retreated. But those maps were drawn more than a hundred years ago—long before CO2 levels in the atmosphere began to increase noticeably, due in part to the combustion of fossil fuels.
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,Go green go!,,2020-10-22,,"

Green plants grow faster with more CO2. Robust agricultural research shows that more CO2 will help feed a hungry planet. We can all agree that more food security helps us at home and abroad. Land plants given more CO2 also become more drought-resistant because higher CO2 levels allow them to use water more efficiently. More abundant and stronger plants from increased CO2 are already seen around the world. Satellite images show significant greening of the planet in recent decades, especially near deserts where drought resistance is critical. This remarkable global greening is the result of an increase of CO2 over the last two hundred years. Still higher CO2 levels will bring still more benefits to plant growth.

Plants use energy from sunlight to incorporate CO2 molecules and water molecules (H2O) into carbohydrates, while releasing “waste” oxygen molecules to the air. Biological machinery in plants, animals and microorganisms reworks some of the carbohydrates into proteins, lipids, vitamins and other essential chemicals of life. Every living creature, from the blooming rose to the newborn baby is made of carbon that plants captured from CO2 molecules in the air. More vigorous plant growth makes for more successful and robust agriculture.
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,What about the storms?,,2020-10-22,,"

If you live in the same area as your ancestors, you are experiencing about the same weather that they did. Careful observations show no significant increase in extreme weather, like tornadoes, hurricanes, floods or droughts. Sea levels are rising at about the same rate as in centuries past.

The increase in vivid news coverage of extreme weather makes some people think bad weather is more common now than for our ancestors. Remember the old newsroom motto: “if it bleeds, it leads.”

But all objective measures show that there has been no significant change in the weather. We still need to be concerned about extreme weather. But more CO2 has not caused more extreme weather and there is no reason why it should.
"
https://co2coalition.org/frequently-asked-questions/,CO2 Coalition,And history says?,,2020-10-22,,"

Adding CO2 in the atmosphere is not a new experiment with an unpredictable outcome. The Earth has carried out this experiment many times over many millions of years. Life (including our primate ancestors) flourished on land and in the oceans at much larger CO2 levels than we see today or are likely to see in the future.

The small increase in CO2 from about 0.03% to 0.04% over the past century has likely produced some small warming, probably about 0.4°C. Further increases of CO2 will cause further warming, but much more slowly. For example, if increasing CO2 levels from 0.04% to 0.08% causes a warming of 1°C, it would be necessary to increase the CO2 levels from 0.08% to 0.16% to increase temperature by another 1°C. Twice as much CO2 increases is needed as for the second 1°C warming than for the first.

Warming, sea-level rise and other impacts will be small, while the benefits will be widespread: larger food crops, flourishing forests, and lush plant growth generally – the greening most people prefer.
"
