url,title,author,date,tags,text,source
https://politics.theonion.com/your-honor-i-m-ready-to-present-says-giuliani-pulli-1845716203,"‘Your Honor, I’m Ready To Present,’ Says Giuliani Pulling Rotted Melon, Stray Cat Out Of Old Burlap Sack",,2020-11-19,,"WILLIAMSPORT, PA—Informing the judge that he had definitive proof of voter fraud against Donald Trump, Rudy Giuliani reportedly announced Thursday in court “Your honor, I’m ready to present” as he pulled a rotted melon and a stray cat out of an old burlap sack. “Give me a second and I’ll show you hard evidence that there are hundreds of thousands, if not millions, of mail-ballot irregularities, it’s somewhere in here under all these pizzas and teeth,” said the president’s lawyer, rummaging through a large, stained canvas bag, discarding multiple grease-coated catalogs, dozens of half-eaten chicken tenders, and a mason jar containing a murky brown liquid, then holding up what he believed to be damning reports that turned out to be a soaking-wet tarp. “Hang on, your honor. As you’ll soon see, there are all kinds of testimonies and other documents proving definitively that officials knowingly engaged in—no, not this, how did this bath towel get in here? Whose bath towel is this? Objection! Now listen, judge your honor, it’s as clear as the evidence that I’ve written on the back of these cheeseburger wrappers, which if the ketchup writing wasn’t so smeared would clearly evidence fraud to the jury. No matter, though, because I’m smart and I made careful backup ketchup copies of the fraud on some gloves, which are legally admissible in court, as soon as I find them. Just a moment. Now where are my potato peels? Sirs of the jury, I submit here for legal questioning and subsequent arrest and execution whichever culprit took my potato peels. I have probable cause! Those are top-secret pieces of information that have client-attorney permission. Do not look at the potato peels! If the potato peels have been stolen, well that’s witness tampering right there, which means that Trump’s case is automatically won on the grounds of appellate dismissal. That’s all very legal. But first I submit these hockey pucks, and if you ignore the bite marks, it’s unmistakable that they—wait, excuse me, these are the wrong hockey pucks. Objection! The election is a fraud and I have the plastic bags of wet leaves to prove it!” At press time, Giuliani had confidently stated “No further questions, I rest my case” and sat chewing the melon rinds, spitting the seeds onto the prosecution’s table.  

",The Onion
https://politics.theonion.com/amy-mcgrath-blows-remaining-campaign-funds-on-lavish-co-1845574869,Amy McGrath Blows Remaining Campaign Funds On Lavish Concession Bonanza,,2020-11-04,,"

FRANKFORT, KY—In an effort to ensure every last cent of the raised $84 million was put to good use, defeated Democratic Senate candidate Amy McGrath reportedly blew her remaining campaign funds Wednesday on a lavish concession bonanza. “We may not have beat Mitch McConnell last night, but this grassroots movement isn’t finished—we’re taking it to Dubai, Monaco, and hitting up the casinos in Singapore,” said McGrath, who reminded the crowd not to forget to pick up their Fabergé egg gift bags near the front gate between the second dolphin pool and Kylie Jenner selfie station. “I’d be nothing without my amazing team of staff, volunteers, the Bengal tiger trainers, Madonna, and the dozens of Playboy bunnies passing out Dom Pérignon. And of course, above all else, I’d like to thank my family and U2, who were very expensive to book and fly in privately so be sure to check them out after the Blue Angels show.” At press time, McGrath had peeled away from the blowout in a brand-new yellow Bugatti as $2 million worth of fireworks spelling out ‘Resist!’ exploded in the sky.  

",The Onion
https://politics.theonion.com/cnn-seamstresses-frantically-updating-results-on-electo-1845531150,CNN Seamstresses Frantically Updating Results On Electoral Map Quilt,,2020-11-03,,"

NEW YORK—Unrolling yet another bolt of quilter’s weight cotton as vote tallies poured in from across the country, CNN seamstresses reportedly worked frantically Tuesday night to update county-by-county results on the network’s massive electoral map quilt. “Dammit, we’ve got an upset in the Adirondacks and only 25 seconds till we’re back from commercial—who has the red satin thread?” shouted senior needlework editor Marilyn Evers, 62, who used a seam ripper to tear out the blue stitches surrounding a sparsely populated county in upstate New York that had unexpectedly flipped in favor of President Trump. “Also, it may come down to the wire, so we need to have both a red and a blue poly-blend Florida backed with fusible interfacing. Let’s have that shit ready to iron on the map as soon as it’s decided. And let’s use some scraps of that adorable polka dot fabric Ellen brought in to appliqué a question mark on North Carolina so that Mr. Tapper will have something to point to when he announces it’s still too close to call. Oh, and by the way, if I look up at that screen tonight and see a state without properly bound edges and mitered corners, someone’s gonna lose their job. This is CNN, for fuck’s sake!” At press time, sources confirmed Evers had completed an intricate, hand-embroidered donkey in the southeast corner of Florida just in time to announce Broward County had gone to Joe Biden.  

",The Onion
https://politics.theonion.com/donald-trump-jr-refuses-to-step-down-from-post-of-pres-1845531608,Donald Trump Jr. Refuses To Step Down From Post Of President’s Oldest Son,,2020-11-07,,"

WASHINGTON—Bucking centuries of precedent with a decision not to participate in the peaceful transfer of his authority, Donald Trump Jr. has refused to step down from his post as the president’s oldest son, sources confirmed Wednesday. “I, Don Trump Jr.—or, I should now say, Don Biden Jr.—will continue to fulfill my duties as the president’s eldest male offspring regardless of any attempts to unseat me or render my position illegitimate,” the 42-year-old real estate heir told reporters, saying he looked forward to promoting president-elect Joe Biden’s personal brand and to spending holidays with the first family, during which he hoped to bond with his “new siblings” Hunter and Ashley. “In this tumultuous time, the nation needs continuity, and through my proven experience as the president’s first male issue, I can provide that. Let me be clear: I am the commander-in-chief’s very special boy, and I will continue in this role for four more years. I’ve already filed a lawsuit to halt the installation of any other person in my position and, if necessary, will pursue this matter all the way to the Supreme Court.” At press time, the U.S. Supreme Court had issued a summary judgment declaring that the last person to claim the post of president’s oldest son had never officially stepped down, and thus the role still rightfully belonged to George W. Bush.  

",The Onion
https://politics.theonion.com/pence-creates-exploratory-committee-to-find-more-charis-1845666678,Pence Creates Exploratory Committee To Find More Charismatic Candidate To Attach Self To In 2024,,2020-11-13,,"

WASHINGTON—Confirming the vice president was already “testing the waters,” Beltway insiders reported Friday that Mike Pence had created an exploratory committee to find another candidate more charismatic than himself whom he could serve as running mate in 2024. “Mike Pence hopes to win office in four years by joining the ticket of someone who actually displays a discernible personality of some kind,” said exploratory committee co-chair James Conroy, adding that he had begun surveying potential candidates who possessed any degree of personal magnetism—any at all—and thus might propel Pence back to the vice presidency. “Right now, we’re poring over the data to ensure the vice president makes a good decision about whose coattails he should ride going forward. As in 2016, there won’t be any litmus test based on ideology or character, so long as Mr. Pence is able to hold a prestigious position while doing little more than remaining silent and nodding from time to time. He doesn’t even care if it’s a Republican or a Democrat. He might have some trouble if it were a woman, but at the end of the day, he’s a seasoned VP ready to be unswervingly loyal to anyone who can win the White House.” At press time, Conroy stated that within 24 hours of its formation, the exploratory committee had successfully identified over 320 million Americans with more charisma than Mike Pence.  

",The Onion
https://politics.theonion.com/qanon-followers-frustrated-after-q-calls-for-respecting-1845587755,"QAnon Followers Frustrated After Q Calls For Respecting Election Results, Uniting Behind Biden",,2020-11-07,,"

BURNSVILLE, NC—As they adjusted to the dramatic shift in messaging, followers of right-wing conspiracy group QAnon were reportedly frustrated Friday after their anonymous leader, known only as “Q,” called for them to respect the election results and unite behind president-elect Joe Biden.  




“In his latest post, Q told us we must all come together under a Biden presidency in order to heal the nation, and while that may be a nice sentiment, I’m not sure if he wants us to just set aside all the stuff we believe about Democrats or what,” said local QAnon adherent Jeff White, who expressed the confusion plaguing many in his group when he asked how he was supposed to put his respect for the democratic process above his conviction that Biden belonged to a party of devil-worshipping, child-molesting cannibals. “Q’s saying that whether you’re a red-pilled freedom fighter who serves the Lord or a pedophile who drinks the blood of infants, we’re all Americans at the end of the day. In other words, sure, Joe Biden is enabling homicidal Satanists, but he’s still the person voters have chosen as their president, and you have to respect him.”



“That may sound a little crazy, but maybe Q’s right,” he continued. “Maybe if we want to make this country a better place, we have to find common ground with people who don’t necessarily share our views on the need to bring about ‘the Storm’ and stop global elites from consuming the flesh of children they traffic for sex. Look, I’m not a Biden fan, but I did notice Hillary never campaigned for him—that means there’s a good chance he had her executed, which would be a promising development for our cause.” 



According to sources, most QAnon fellows were disappointed President Trump had lost reelection, but were holding out hope that John F. Kennedy Jr. would soon land his plane in Wilmington, DE and agree to head up Biden’s transition team.
",The Onion
https://politics.theonion.com/pros-and-cons-of-political-polling-1845587617,Pros And Cons Of Political Polling,,2020-11-06,,"

While polling has been a staple of presidential races for decades, high-profile polling errors in the last two presidential races have left some questioning their effectiveness. _The Onion_ looks at the pros and cons of political polling.  




 **PRO**



 **CON**
",The Onion
https://politics.theonion.com/what-trump-hopes-to-accomplish-before-leaving-the-white-1845666672,What Trump Hopes To Accomplish Before Leaving The White House,,2020-11-13,,"

On January 20, 2021, Donald Trump will leave office at the end of his presidential term, coup permitting. Here’s what President Trump hopes to accomplish over his final two months in office.  

",The Onion
https://politics.theonion.com/supreme-court-strikes-down-obama-s-personal-health-insu-1845655600,Supreme Court Strikes Down Obama’s Personal Health Insurance Policy,,2020-11-12,,"

WASHINGTON—In a 5-4 decision that shocked legal experts across the nation, the Supreme Court made waves Thursday when it struck down former president Barack Obama’s personal health insurance policy. “The court holds that Barack Obama’s use of an HMO to provide health coverage for himself, his wife Michelle, and his daughters Sasha and Malia, is in blatant violation of the Ninth Amendment,” said Chief Justice Roberts, who added that existing coverage for all other Americans would remain unaffected except for the former president and the first family. “Henceforth, all African American men who were the 44th president of the United States will be stripped of coverage, including medical, prescription, and dental. Congress has no authority to reinstate these plans, or allow Barack Obama to purchase health insurance through a PPO, EPO, POS, or other means.” At press time, dissenting Justice Sotomayor protested, adding that such a precedent could open the doors to allowing the Supreme Court to strip 39th U.S. president Jimmy Carter of his personal health insurance.  

",The Onion
https://politics.theonion.com/jubilant-reaction-to-trump-defeat-quickly-soured-by-new-1845551327,Jubilant Reaction To Trump Defeat Quickly Soured By News Of Biden Win,,2020-11-07,,"

CHICAGO—Seconds after the room had erupted into cheers, applause, and a few big sighs of relief, sources confirmed Tuesday that a local group of friend’s jubilant reaction to Donald Trump’s defeat had soured quickly upon the announcement of Joe Biden’s victory. “One moment we’re celebrating our nation’s repudiation of Trump, and the next Biden is declared the winner—what a buzzkill,” said 29-year-old Ryan Lopez, whose smile had visibly faded to weariness as the former vice president and retired six-term senator appeared on television to celebrate with his family. “The American people just ousted a transparently racist, misogynistic, and authoritarian president, but before we even have a chance to savor that triumph, we’re forced to deal with the fact that his replacement will be Joe Biden. Ugh, why does the single best piece of news this country has had in years have to be tainted _immediately_? For fuck’s sake.” At press time, Lopez had reportedly demanded the television be shut off after a news anchor observed that Trump would remain in power until January.
",The Onion
